title	genre	score	revenue	released
Resident Evil: Extinction	Action	6.1	148412065	2007-09-21
Resident Evil: Retribution	Action	5.6	240159255	2012-09-14
Riddick	Action	6.2	98337295	2013-09-06
Ride Along	Action	6.1	153997819	2014-01-17
Righteous Kill	Action	5.9	73174566	2008-09-12
Rise of the Planet of the Apes	Action	7	482860185	2011-08-05
Risen	Action	5.7	46069568	2016-02-19
Road House	Action	6.3	30050028	1989-05-19
Robin Hood	Action	6.2	310669540	2010-05-14
Robin Hood: Prince of Thieves	Action	6.6	390493908	1991-06-14
RoboCop	Action	5.7	242688965	1987-07-17
RoboCop	Action	5.7	242688965	2014-02-12
RoboCop 3	Action	4.2	10696210	1993-11-05
RockNRolla	Action	6.9	25739015	2008-10-31
Romeo Is Bleeding	Action	5.7	3275585	1994-02-04
Romeo Must Die	Action	6	91036760	2000-03-22
Ronin	Action	6.7	41610884	1998-09-25
Rumble in the Bronx	Action	6.5	32392047	1996-02-23
Run All Night	Action	6.3	71561644	2015-03-13
Running Scared	Action	7	9500000	2006-02-24
Rush	Action	7.7	90247624	1992-01-17
Rush	Action	7.7	90247624	2013-09-27
Rush Hour 2	Action	6.4	347325802	2001-08-03
Rush Hour 3	Action	6.1	258022233	2007-08-10
S.W.A.T.	Action	5.8	116643346	2003-08-08
Sabotage	Action	5.5	17508518	2014-03-28
Safe	Action	6.3	40346186	2012-04-27
Sahara	Action	5.7	119269486	2005-04-08
Salt	Action	6.2	293329073	2010-07-23
San Andreas	Action	6	470490832	2015-05-29
Saving Silverman	Action	5.4	19351569	2001-02-09
Scott Pilgrim vs. the World	Action	7.2	47664559	2010-08-13
Self/less	Action	6.3	30523226	2015-07-10
Serenity	Action	7.4	38869464	2005-09-30
Set It Off	Action	6.9	41590886	1996-11-06
Seventh Son	Action	5.2	114178613	2015-02-06
Shaft	Action	5.5	107196498	2000-06-16
Shanghai Knights	Action	6	88323487	2003-02-07
Shanghai Noon	Action	6.2	56932305	2000-05-26
Sherlock Holmes	Action	7	524028679	2009-12-25
Sherlock Holmes: A Game of Shadows	Action	7	334615000	2011-12-16
Shooter	Action	6.9	95696996	2007-03-23
Showdown in Little Tokyo	Action	5.7	2275557	1991-08-23
Sicario	Action	7.2	84025816	2015-10-02
Six Days Seven Nights	Action	5.6	164000000	1998-06-12
Six-String Samurai	Action	5.8	124494	1998-09-18
Sky Captain and the World of Tomorrow	Action	5.7	57958696	2004-09-17
Skyfall	Action	6.9	1108561013	2012-11-09
Skyline	Action	4.7	66821036	2010-11-12
