year,star,director,writer
1989,Al Pacino,Harold Becker,Richard Price
2003,Tobey Maguire,Gary Ross,Laura Hillenbrand
2015,Chiwetel Ejiofor,Billy Ray,Billy Ray
2004,Johnny Depp,David Koepp,Stephen King
2010,Diane Lane,Randall Wallace,Mike Rich
2002,James Spader,Steven Shainberg,Erin Cressida Wilson
2012,Steve Carell,Lorene Scafaria,Lorene Scafaria
1997,Jennifer Lopez,Gregory Nava,Gregory Nava
2015,Ryan Reynolds,Tarsem Singh,Àlex Pastor
2014,David Oyelowo,Ava DuVernay,Paul Webb
1995,Emma Thompson,Ang Lee,Jane Austen
2001,John Cusack,Peter Chelsom,Marc Klein
2005,Nathan Fillion,Joss Whedon,Joss Whedon
1994,Kathleen Turner,John Waters,John Waters
2002,Matthew Perry,Reginald Hudlin,Jay Scherick
2001,David Caruso,Brad Anderson,Brad Anderson
1996,Jada Pinkett Smith,F. Gary Gray,Takashi Bufford
2008,Will Smith,Gabriele Muccino,Grant Nieporte
2012,Colin Farrell,Martin McDonagh,Martin McDonagh
1997,Brad Pitt,Jean-Jacques Annaud,Heinrich Harrer
2014,Ben Barnes,Sergei Bodrov,Charles Leavitt
2008,Josh Zuckerman,Sean Anders,Sean Anders
2014,Jason Segel,Jake Kasdan,Kate Angelo
2000,John Malkovich,E. Elias Merhige,Steven Katz
2000,Samuel L. Jackson,John Singleton,Ernest Tidyman
1998,Gwyneth Paltrow,John Madden,Marc Norman
2001,Jack Black,Bobby Farrelly,Sean Moynihan
2011,Michael Fassbender,Steve McQueen,Steve McQueen
2003,Jackie Chan,David Dobkin,Alfred Gough
2000,Jackie Chan,Tom Dey,Miles Millar
2004,Will Smith,Bibo Bergeron,Michael J. Wilson
1999,Freddie Prinze Jr.,Robert Iscove,R. Lee Fleming Jr.
2010,Jay Baruchel,Jim Field Smith,Sean Anders
2006,Amanda Bynes,Andy Fickman,Ewan Leslie
1996,Edward Burns,Edward Burns,Edward Burns
2009,Robert Downey Jr.,Guy Ritchie,Michael Robert Johnson
2011,Robert Downey Jr.,Guy Ritchie,Michele Mulroney
2007,Mark Wahlberg,Antoine Fuqua,Jonathan Lemkin
1997,Dan Futterman,Stefan Schwartz,Stefan Schwartz
1991,Dolph Lundgren,Mark L. Lester,Stephen Glantz
1995,Elizabeth Berkley,Paul Verhoeven,Joe Eszterhas
2001,Mike Myers,Andrew Adamson,William Steig
2004,Mike Myers,Andrew Adamson,William Steig
2010,Mike Myers,Mike Mitchell,William Steig
2007,Mike Myers,Chris Miller,Jeffrey Price
2010,Leonardo DiCaprio,Martin Scorsese,Laeta Kalogridis
2015,Emily Blunt,Denis Villeneuve,Taylor Sheridan
2013,Rooney Mara,Steven Soderbergh,Scott Z. Burns
2004,Paul Giamatti,Alexander Payne,Rex Pickett
2002,Mel Gibson,M. Night Shyamalan,M. Night Shyamalan
2011,Elizabeth Olsen,Chris Kentis,Gustavo Hernández
2012,Bradley Cooper,David O. Russell,David O. Russell
1998,Ian Michael Smith,Mark Steven Johnson,Mark Steven Johnson
2005,Mickey Rourke,Frank Miller,Frank Miller
2014,Mickey Rourke,Frank Miller,Frank Miller
2003,Brad Pitt,Patrick Gilmore,John Logan
2012,Ethan Hawke,Scott Derrickson,Scott Derrickson
2015,James Ransone,Ciarán Foy,Scott Derrickson
1998,Harrison Ford,Ivan Reitman,Michael Browning
1998,Jeffrey Falcon,Lance Mungia,Jeffrey Falcon
2004,Gwyneth Paltrow,Kerry Conran,Kerry Conran
2005,Kurt Russell,Mike Mitchell,Paul Hernandez
2012,Daniel Craig,Sam Mendes,Ian Fleming
2010,Eric Balfour,Colin Strause,Joshua Cordes
2002,Devon Sawa,Dewey Nicks,David H. Steinberg
1996,Robert De Niro,Barry Levinson,Lorenzo Carcaterra
1998,Gwyneth Paltrow,Peter Howitt,Peter Howitt
1996,Billy Bob Thornton,Billy Bob Thornton,Billy Bob Thornton
2008,Dev Patel,Danny Boyle,Simon Beaufoy
1998,Kirsten Dunst,Joe Dante,Gavin Scott
2006,Jeremy Piven,Joe Carnahan,Joe Carnahan
1998,Nicolas Cage,Brian De Palma,Brian De Palma
2013,Dwayne Johnson,Ric Roman Waugh,Justin Haythe
2012,Kristen Stewart,Rupert Sanders,Evan Daugherty
1998,Kurt Russell,Paul W.S. Anderson,David Webb Peoples
2009,Michael Douglas,Brian Koppelman,Brian Koppelman
2011,Ginnifer Goodwin,Luke Greenfield,Jennie Snyder Urman
2003,Jack Nicholson,Nancy Meyers,Nancy Meyers
2009,Briana Evigan,Stewart Hendler,Josh Stolberg
2004,Dwayne Adway,Jessy Terrero,Bo Zenga
2011,AnnaSophia Robb,Sean McNamara,Sean McNamara
2011,Jake Gyllenhaal,Duncan Jones,Ben Ripley
2006,Dwayne Johnson,Richard Kelly,Richard Kelly
2000,Clint Eastwood,Clint Eastwood,Ken Kaufman
1996,Michael Jordan,Joe Pytka,Leo Benvenuti
1987,Mel Brooks,Mel Brooks,Mel Brooks
1990,Douglas Barr,Patrick Read Johnson,Patrick Read Johnson
2004,Adam Sandler,James L. Brooks,James L. Brooks
1997,John Leguizamo,Mark A.Z. Dippé,Todd McFarlane
1995,Natasha Henstridge,Roger Donaldson,Dennis Feldman
2015,Daniel Craig,Sam Mendes,John Logan
1994,Keanu Reeves,Jan de Bont,Graham Yost
1997,Sandra Bullock,Jan de Bont,Graham Yost
2008,Emile Hirsch,Lana Wachowski,Lilly Wachowski
1998,Dustin Hoffman,Barry Levinson,Michael Crichton
1997,Melanie Brown,Bob Spiers,Spice Girls
2002,Tobey Maguire,Sam Raimi,Stan Lee
2004,Tobey Maguire,Sam Raimi,Stan Lee
2007,Tobey Maguire,Sam Raimi,Sam Raimi
2002,Matt Damon,Kelly Asbury,John Fusco
2001,Daveigh Chase,Hayao Miyazaki,Hayao Miyazaki
2015,Mark Ruffalo,Tom McCarthy,Josh Singer
2012,Vanessa Hudgens,Harmony Korine,Harmony Korine
2001,Alexa PenaVega,Robert Rodriguez,Robert Rodriguez
2014,Bill Murray,Theodore Melfi,Theodore Melfi
2010,Connor Paolo,Jim Mickle,Nick Damici
1986,Wil Wheaton,Rob Reiner,Stephen King
2009,Chris Pine,J.J. Abrams,Roberto Orci
2016,Chris Pine,Justin Lin,Simon Pegg
2013,Chris Pine,J.J. Abrams,Roberto Orci
1986,William Shatner,Leonard Nimoy,Gene Roddenberry
1989,William Shatner,William Shatner,Gene Roddenberry
1991,William Shatner,Nicholas Meyer,Gene Roddenberry
1994,Patrick Stewart,David Carson,Gene Roddenberry
1998,Patrick Stewart,Jonathan Frakes,Gene Roddenberry
2002,Patrick Stewart,Stuart Baird,Gene Roddenberry
1999,Ewan McGregor,George Lucas,George Lucas
2002,Hayden Christensen,George Lucas,George Lucas
2005,Hayden Christensen,George Lucas,George Lucas
2007,Charlie Cox,Matthew Vaughn,Jane Goldman
1997,Casper Van Dien,Paul Verhoeven,Edward Neumeier
2004,Ben Stiller,Todd Phillips,William Blinn
2006,Jon Foster,William Brent Bell,William Brent Bell
2005,Josh Lucas,Rob Cohen,W.D. Richter
1997,Shaquille O'Neal,Kenneth Johnson,Louise Simonson
2008,Will Ferrell,Adam McKay,Will Ferrell
2006,Channing Tatum,Anne Fletcher,Duane Adler
2008,Robert Hoffman,Jon M. Chu,Toni Ann Johnson
2010,Sharni Vinson,Jon M. Chu,Amy Andelson
2012,Kathryn McCormick,Scott Speer,Amanda Brody
2015,Michael Fassbender,Danny Boyle,Aaron Sorkin
1999,Patricia Arquette,Rupert Wainwright,Tom Lazarus
2014,Julianne Moore,Richard Glatzer,Richard Glatzer
1999,Kevin Bacon,David Koepp,Richard Matheson
2013,Mia Wasikowska,Chan-wook Park,Wentworth Miller
2012,Nicolas Cage,Simon West,David Guggenheim
2007,Columbus Short,Sylvain White,Robert Adetuyi
2010,Edward Norton,John Curran,Angus MacLachlan
2008,Ryan Phillippe,Kimberly Peirce,Mark Richard
2015,O'Shea Jackson Jr.,F. Gary Gray,Jonathan Herman
2006,Will Ferrell,Marc Forster,Zach Helm
2015,Nicole Kidman,Kim Farrant,Michael Kinirons
2011,James Marsden,Rod Lurie,Rod Lurie
1994,Jean-Claude Van Damme,Steven E. de Souza,Steven E. de Souza
2008,Keanu Reeves,David Ayer,James Ellroy
1996,Demi Moore,Andrew Bergman,Carl Hiaasen
2002,Michael J. Fox,Rob Minkoff,E.B. White
2003,Matt Damon,Bobby Farrelly,Charles B. Wessler
2011,Emily Browning,Zack Snyder,Zack Snyder
2016,Will Smith,David Ayer,David Ayer
2001,Freddie Prinze Jr.,Michael Tollin,Kevin Falls
2008,Amy Adams,Christine Jeffs,Megan Holley
2010,Rainn Wilson,James Gunn,James Gunn
2011,Elle Fanning,J.J. Abrams,J.J. Abrams
1993,Bob Hoskins,Annabel Jankel,Parker Bennett
2001,Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar
2007,Michael Cera,Greg Mottola,Seth Rogen
2008,Drake Bell,Craig Mazin,Craig Mazin
1987,Christopher Reeve,Sidney J. Furie,Joe Shuster
2006,Brandon Routh,Bryan Singer,Michael Dougherty
2000,James Spader,Walter Hill,William Malone
2007,Shia LaBeouf,Ash Brannon,Don Rhymer
2009,Bruce Willis,Jonathan Mostow,Michael Ferris
2004,Aaron Eckhart,E. Elias Merhige,Zak Penn
2002,Reese Witherspoon,Andy Tennant,Douglas J. Eboch
2001,Keanu Reeves,Pat O'Connor,Herman Raucher
2002,Madonna,Guy Ritchie,Guy Ritchie
2002,Jesse Bradford,John Polson,Charles F. Bohl
2008,Kevin Costner,Joshua Michael Stern,Jason Richman
1996,Vince Vaughn,Doug Liman,Jon Favreau
1997,Danny Glover,Jeb Stuart,Jeb Stuart
2001,John Travolta,Dominic Sena,Skip Woods
2007,Amanda Bynes,Joe Nussbaum,Chad Gomez Creasey
2005,George Clooney,Stephen Gaghan,Stephen Gaghan
2000,Sigourney Weaver,Gary Winick,Heather McGowan
2011,Topher Grace,Michael Dowse,Jackie Filgo
2011,Michael Shannon,Jeff Nichols,Jeff Nichols
2006,Antonio Banderas,Liz Friedlander,Dianne Houston
2010,Chris Brown,John Luessenhop,Peter Allen
1995,Clarence Williams III,Rusty Cundieff,Rusty Cundieff
1988,Eric Bogosian,Oliver Stone,Stephen Singular
2006,Will Ferrell,Adam McKay,Will Ferrell
2010,Mandy Moore,Nathan Greno,Dan Fogelman
1989,Sylvester Stallone,Andrey Konchalovskiy,Randy Feldman
1995,Lori Petty,Rachel Talalay,Alan Martin
1999,Maggie Smith,Franco Zeffirelli,John Mortimer
2004,Trey Parker,Trey Parker,Trey Parker
2003,Bruce Willis,Antoine Fuqua,Alex Lasker
2012,Mark Wahlberg,Seth MacFarlane,Seth MacFarlane
2015,Mark Wahlberg,Seth MacFarlane,Seth MacFarlane
1990,Judith Hoag,Steve Barron,Kevin Eastman
2014,Megan Fox,Jonathan Liebesman,Josh Appelbaum
1991,Paige Turco,Michael Pressman,Kevin Eastman
1993,Elias Koteas,Stuart Gillard,Kevin Eastman
2016,Megan Fox,Dave Green,Josh Appelbaum
1991,Arnold Schwarzenegger,James Cameron,James Cameron
2003,Arnold Schwarzenegger,Jonathan Mostow,James Cameron
2015,Arnold Schwarzenegger,Alan Taylor,Laeta Kalogridis
2009,Christian Bale,McG,John Brancato
2013,Alexandra Daddario,John Luessenhop,Adam Marcus
2005,Aaron Eckhart,Jason Reitman,Jason Reitman
2014,Zac Efron,Tom Gormican,Tom Gormican
2012,Adam Sandler,Sean Anders,David Caspe
1999,Antonio Banderas,John McTiernan,Michael Crichton
2016,Chloë Grace Moretz,J Blakeson,Susannah Grant
2000,Arnold Schwarzenegger,Roger Spottiswoode,Cormac Wibberley
1989,Ed Harris,James Cameron,James Cameron
1991,Anjelica Huston,Barry Sonnenfeld,Charles Addams
2011,Matt Damon,George Nolfi,George Nolfi
1990,Andrew Dice Clay,Renny Harlin,Daniel Waters
2002,Eddie Murphy,Ron Underwood,Neil Cuthbert
2000,Robert De Niro,Des McAnuff,Jay Ward
2011,Jamie Bell,Steven Spielberg,Hergé
2015,Blake Lively,Lee Toland Krieger,J. Mills Goodloe
1993,Daniel Day-Lewis,Martin Scorsese,Edith Wharton
2004,Dennis Quaid,John Lee Hancock,Leslie Bohem
2012,Andrew Garfield,Marc Webb,James Vanderbilt
2014,Andrew Garfield,Marc Webb,Alex Kurtzman
2010,George Clooney,Anton Corbijn,Rowan Joffe
1995,Michael Douglas,Rob Reiner,Aaron Sorkin
2005,Ryan Reynolds,Andrew Douglas,Scott Kosar
2016,Jason Sudeikis,Clay Kaytis,Jon Vitti
2001,Rob Schneider,Luke Greenfield,Tom Brady
2006,Paul Giamatti,John A. Davis,John A. Davis
2012,Ashley Greene,Todd Lincoln,Todd Lincoln
2000,Wesley Snipes,Christian Duguay,Wayne Beach
2011,Jean Dujardin,Michel Hazanavicius,Michel Hazanavicius
2007,Brad Pitt,Andrew Dominik,Andrew Dominik
2006,Billy Bob Thornton,Michael Polish,Mark Polish
1999,Charlize Theron,Rand Ravich,Rand Ravich
1998,Ralph Fiennes,Jeremiah S. Chechik,Sydney Newman
2012,Robert Downey Jr.,Joss Whedon,Joss Whedon
2010,Jennifer Lopez,Alan Poul,Kate Angelo
2005,Daniel Day-Lewis,Rebecca Miller,Rebecca Miller
2008,Jason Statham,Roger Donaldson,Dick Clement
2000,Leonardo DiCaprio,Danny Boyle,John Hodge
2011,Mel Gibson,Jodie Foster,Kyle Killen
2001,Ryan Gosling,Henry Bean,Henry Bean
2011,Judi Dench,John Madden,Ol Parker
2013,Monica Calhoun,Malcolm D. Lee,Malcolm D. Lee
2014,James Marsden,Michael Hoffman,J. Mills Goodloe
2016,Mark Rylance,Steven Spielberg,Melissa Mathison
2004,Owen Wilson,George Armitage,Elmore Leonard
1998,Mark Wahlberg,Kirk Wong,Ben Ramsey
1998,Jeff Bridges,Joel Coen,Ethan Coen
2015,Christian Bale,Adam McKay,Charles Randolph
2013,Robert De Niro,Justin Zackham,Justin Zackham
2011,Owen Wilson,David Frankel,Howard Franklin
2016,Nate Parker,Nate Parker,Nate Parker
1999,Heather Donahue,Daniel Myrick,Daniel Myrick
2009,Quinton Aaron,John Lee Hancock,John Lee Hancock
1992,Kevin Costner,Mick Jackson,Lawrence Kasdan
1999,Denzel Washington,Phillip Noyce,Jeffery Deaver
2010,Denzel Washington,Albert Hughes,Gary Whitta
2014,Diego Luna,Jorge R. Gutiérrez,Jorge R. Gutiérrez
1999,Willem Dafoe,Troy Duffy,Troy Duffy
2009,Sean Patrick Flanery,Troy Duffy,Troy Duffy
2016,Melissa McCarthy,Ben Falcone,Melissa McCarthy
2010,Jennifer Aniston,Andy Tennant,Sarah Thorp
2002,Franka Potente,Doug Liman,Tony Gilroy
2012,Jeremy Renner,Tony Gilroy,Tony Gilroy
2004,Matt Damon,Paul Greengrass,Robert Ludlum
2007,Matt Damon,Paul Greengrass,Tony Gilroy
2009,Cameron Diaz,Richard Kelly,Richard Kelly
2014,Ben Kingsley,Graham Annable,Irena Brignull
2016,Lauren Cohan,William Brent Bell,Stacey Menear
2015,Jennifer Lopez,Rob Cohen,Barbara Curry
2006,Jennifer Aniston,Peyton Reed,Jeremy Garelick
1995,Clint Eastwood,Clint Eastwood,Richard LaGravenese
2008,Rachel Weisz,Rian Johnson,Rian Johnson
2005,Matt Damon,Terry Gilliam,Ehren Kruger
2007,Jack Nicholson,Rob Reiner,Justin Zackham
2004,Ashton Kutcher,Eric Bress,J. Mackye Gruber
2012,Kristen Connolly,Drew Goddard,Joss Whedon
1996,Jim Carrey,Ben Stiller,Lou Holtz Jr.
2013,Halle Berry,Brad Anderson,Richard D'Ovidio
2013,Lindsay Lohan,Paul Schrader,Bret Easton Ellis
2005,Piper Perabo,Bruce Hunt,Michael Steinberg
2000,Jennifer Lopez,Tarsem Singh,Mark Protosevich
2011,Jason Bateman,David Dobkin,Jon Lucas
2008,Ben Barnes,Andrew Adamson,Andrew Adamson
2005,Tilda Swinton,Andrew Adamson,Ann Peacock
2010,Ben Barnes,Michael Apted,Christopher Markus
2004,Vin Diesel,David Twohy,Jim Wheat
1994,Susan Sarandon,Joel Schumacher,John Grisham
2012,Henry Cavill,Mabrouk El Mechri,Scott Wiper
1986,Paul Newman,Martin Scorsese,Walter Tevis
2013,Patrick Wilson,James Wan,Chad Hayes
2016,Vera Farmiga,James Wan,Carey Hayes
2010,Robin Wright,Robert Redford,James D. Solomon
2003,Aaron Eckhart,Jon Amiel,Cooper Layne
1999,Yun-Fat Chow,James Foley,Robert Pucci
2002,Jim Caviezel,Kevin Reynolds,Alexandre Dumas
2006,Steven Strait,Renny Harlin,J.S. Cardone
1996,Robin Tunney,Andrew Fleming,Peter Filardi
2010,Radha Mitchell,Breck Eisner,Scott Kosar
2013,Nicolas Cage,Kirk De Micco,Chris Sanders
1994,Brandon Lee,Alex Proyas,James O'Barr
2008,Brad Pitt,David Fincher,Eric Roth
2005,Peter Sallis,Steve Box,Steve Box
2006,Tom Hanks,Ron Howard,Akiva Goldsman
2008,Christian Bale,Christopher Nolan,Jonathan Nolan
2012,Christian Bale,Christopher Nolan,Jonathan Nolan
2011,Emile Hirsch,Chris Gorak,Jon Spaihts
2004,Dennis Quaid,Roland Emmerich,Roland Emmerich
2008,Keanu Reeves,Scott Derrickson,David Scarpa
2010,Helen Mirren,John Madden,Matthew Vaughn
1999,Michelle Pfeiffer,Ulu Grosbard,Jacquelyn Mitchard
2006,Leonardo DiCaprio,Martin Scorsese,William Monahan
2011,George Clooney,Alexander Payne,Alexander Payne
2012,Fernanda Andrade,William Brent Bell,William Brent Bell
2006,Anne Hathaway,David Frankel,Aline Brosh McKenna
1997,Keanu Reeves,Taylor Hackford,Andrew Neiderman
1997,Harrison Ford,Alan J. Pakula,Kevin Jarre
2015,Bel Powley,Marielle Heller,Phoebe Gloeckner
2012,Sacha Baron Cohen,Larry Charles,Sacha Baron Cohen
2011,Vince Vaughn,Ron Howard,Allan Loeb
1991,Val Kilmer,Oliver Stone,Randall Jahnson
2015,Mae Whitman,Ari Sandel,Josh A. Cagan
2005,Seann William Scott,Jay Chandrasekhar,John O'Brien
2013,Brit Marling,Zal Batmanglij,Zal Batmanglij
2000,David Spade,Mark Dindal,Chris Williams
1999,Ralph Fiennes,Neil Jordan,Graham Greene
1996,Ralph Fiennes,Anthony Minghella,Michael Ondaatje
2014,Denzel Washington,Antoine Fuqua,Richard Wenk
2005,Laura Linney,Scott Derrickson,Paul Harris Boardman
2010,Sylvester Stallone,Sylvester Stallone,Dave Callaham
2012,Sylvester Stallone,Simon West,Richard Wenk
2014,Sylvester Stallone,Patrick Hughes,Sylvester Stallone
2008,Rob Brown,Gary Fleder,Charles Leavitt
2008,Jessica Alba,David Moreau,Sebastian Gutierrez
1998,Jordana Brewster,Robert Rodriguez,David Wechter
1996,Robert De Niro,Tony Scott,Peter Abrahams
2001,Vin Diesel,Rob Cohen,Ken Li
2006,Lucas Black,Justin Lin,Chris Morgan
2014,Shailene Woodley,Josh Boone,Scott Neustadter
1997,Bruce Willis,Luc Besson,Luc Besson
2013,Benedict Cumberbatch,Bill Condon,Daniel Domscheit-Berg
2010,Mark Wahlberg,David O. Russell,Scott Silver
2009,Nick Zano,David R. Ellis,Eric Bress
2016,Chris Pine,Craig Gillespie,Scott Silver
1993,Tom Cruise,Sydney Pollack,John Grisham
1996,Goldie Hawn,Hugh Wilson,Olivia Goldsmith
1991,Jeff Bridges,Terry Gilliam,Richard LaGravenese
2012,Jason Segel,Nicholas Stoller,Jason Segel
1994,John Goodman,Brian Levant,Tom S. Parker
2000,Mark Addy,Brian Levant,William Hanna
2011,Christian Bale,Yimou Zhang,Heng Liu
2005,Tom Welling,Rupert Wainwright,Cooper Layne
2008,Jackie Chan,Rob Minkoff,John Fusco
2016,Natalie Dormer,Jason Zada,Nick Antosca
2006,Hugh Jackman,Darren Aronofsky,Darren Aronofsky
2002,Heath Ledger,Shekhar Kapur,A.E.W. Mason
2009,Milla Jovovich,Olatunde Osunsanmi,Olatunde Osunsanmi
1993,Harrison Ford,Andrew Davis,Jeb Stuart
1997,Robert Carlyle,Peter Cattaneo,Simon Beaufoy
1996,Christopher Walken,Abel Ferrara,Nicholas St. John
2014,Mark Wahlberg,Rupert Wyatt,William Monahan
1997,Michael Douglas,David Fincher,John Brancato
2007,Dwayne Johnson,Andy Fickman,Nichole Millard
1999,John Travolta,Simon West,Nelson DeMille
2010,Ewan McGregor,Roman Polanski,Robert Harris
2000,Cate Blanchett,Sam Raimi,Billy Bob Thornton
2015,Jason Bateman,Joel Edgerton,Joel Edgerton
2004,Emile Hirsch,Luke Greenfield,David Wagner
2009,Michael Nyqvist,Niels Arden Oplev,Nikolaj Arcel
2011,Daniel Craig,David Fincher,Steven Zaillian
2001,Diane Lane,Daniel Sackheim,Wesley Strick
1990,Al Pacino,Francis Ford Coppola,Mario Puzo
1986,Eddie Murphy,Michael Ritchie,Dennis Feldman
2007,Nicole Kidman,Chris Weitz,Chris Weitz
2015,Jeffrey Wright,Peter Sohn,Bob Peterson
2006,George Clooney,Steven Soderbergh,Paul Attanasio
2002,Jennifer Aniston,Miguel Arteta,Mike White
2014,Ralph Fiennes,Wes Anderson,Stefan Zweig
2013,Tony Chiu-Wai Leung,Kar-Wai Wong,Kar-Wai Wong
2007,Denzel Washington,Denzel Washington,Robert Eisele
2005,Benjamin Bratt,John Dahl,William B. Breuer
2011,Seth Rogen,Michel Gondry,Seth Rogen
2013,Lorenza Izzo,Eli Roth,Guillermo Amoedo
1999,Tom Hanks,Frank Darabont,Stephen King
2011,Liam Neeson,Joe Carnahan,Joe Carnahan
2004,Sarah Michelle Gellar,Takashi Shimizu,Stephen Susco
2006,Amber Tamblyn,Takashi Shimizu,Stephen Susco
2011,Brendan Gleeson,John Michael McDonagh,John Michael McDonagh
2012,Barbra Streisand,Anne Fletcher,Dan Fogelman
2015,Sean Penn,Pierre Morel,Jean-Patrick Manchette
2009,Zach Galifianakis,Todd Phillips,Jon Lucas
2011,Bradley Cooper,Todd Phillips,Craig Mazin
2008,Mark Wahlberg,M. Night Shyamalan,M. Night Shyamalan
2015,Samuel L. Jackson,Quentin Tarantino,Quentin Tarantino
2003,Eddie Murphy,Rob Minkoff,David Berenbaum
2013,Sandra Bullock,Paul Feig,Katie Dippold
2011,Emma Stone,Tate Taylor,Tate Taylor
2006,Ted Levine,Alexandre Aja,Wes Craven
2005,Martin Freeman,Garth Jennings,Douglas Adams
2012,Martin Freeman,Peter Jackson,Fran Walsh
2014,Ian McKellen,Peter Jackson,Fran Walsh
2013,Ian McKellen,Peter Jackson,Fran Walsh
2006,Kate Winslet,Nancy Meyers,Nancy Meyers
2014,Tommy Lee Jones,Tommy Lee Jones,Tommy Lee Jones
1998,Robert Redford,Robert Redford,Nick Evans
2013,Saoirse Ronan,Andrew Niccol,Andrew Niccol
2013,Saoirse Ronan,Andrew Niccol,Andrew Niccol
2002,Meryl Streep,Stephen Daldry,Michael Cunningham
2008,Anna Faris,Fred Wolf,Karen McCullah
1996,Demi Moore,Gary Trousdale,Tab Murphy
2014,Helen Mirren,Lasse Hallström,Steven Knight
2012,Jennifer Lawrence,Gary Ross,Gary Ross
2013,Jennifer Lawrence,Francis Lawrence,Simon Beaufoy
2014,Jennifer Lawrence,Francis Lawrence,Peter Craig
2015,Jennifer Lawrence,Francis Lawrence,Peter Craig
2012,Mads Mikkelsen,Thomas Vinterberg,Tobias Lindholm
1990,Sean Connery,John McTiernan,Tom Clancy
1995,Christopher Lambert,J.F. Lawton,J.F. Lawton
2003,Tommy Lee Jones,William Friedkin,David Griffiths
2016,Chris Hemsworth,Cedric Nicolas-Troyan,Evan Spiliotopoulos
1999,Denzel Washington,Norman Jewison,Rubin 'Hurricane' Carter
2008,Jeremy Renner,Kathryn Bigelow,Mark Boal
1997,Kevin Kline,Ang Lee,Rick Moody
2012,Michael Shannon,Ariel Vromen,Morgan Land
2011,Paul Giamatti,George Clooney,George Clooney
2006,Edward Norton,Neil Burger,Neil Burger
2009,Christopher Plummer,Terry Gilliam,Terry Gilliam
2014,Benedict Cumberbatch,Morten Tyldum,Graham Moore
2013,Marion Cotillard,James Gray,James Gray
2012,Naomi Watts,J.A. Bayona,Sergio G. Sánchez
2000,Lori Heuring,Mary Lambert,Mark Gibson
2013,Steve Carell,Don Scardino,Jonathan Goldstein
2008,Edward Norton,Louis Leterrier,Zak Penn
2004,Craig T. Nelson,Brad Bird,Brad Bird
2016,Bryan Cranston,Brad Furman,Ellen Sue Brown
2009,Matt Damon,Steven Soderbergh,Scott Z. Burns
2008,Billy Bob Thornton,Gregor Jordan,Bret Easton Ellis
2011,Sara Paxton,Ti West,Ti West
1999,Russell Crowe,Michael Mann,Marie Brenner
2015,Robert De Niro,Nancy Meyers,Nancy Meyers
2009,Clive Owen,Tom Tykwer,Eric Warren Singer
2013,Vince Vaughn,Shawn Levy,Vince Vaughn
2005,Nicole Kidman,Sydney Pollack,Martin Stellman
2014,James Franco,Evan Goldberg,Dan Sterling
2007,Nicole Kidman,Oliver Hirschbiegel,David Kajganich
1999,Eli Marienthal,Brad Bird,Tim McCanlies
2011,Meryl Streep,Phyllida Lloyd,Abi Morgan
2005,Scarlett Johansson,Michael Bay,Caspian Tredwell-Owen
1996,David Thewlis,John Frankenheimer,H.G. Wells
2003,Donald Sutherland,F. Gary Gray,Troy Kennedy-Martin
1997,Bruce Willis,Michael Caton-Jones,Kenneth Ross
2009,Demi Moore,Derrick Borte,Randy T. Dinzler
2014,Robert Downey Jr.,David Dobkin,Nick Schenk
2016,Neel Sethi,Jon Favreau,Justin Marks
2003,John Goodman,Steve Trenbirth,Karl Geurs
2010,Jackie Chan,Harald Zwart,Christopher Murphey
2000,Bruce Willis,Jon Turteltaub,Audrey Wells
2010,Annette Bening,Lisa Cholodenko,Lisa Cholodenko
2010,Colin Firth,Tom Hooper,David Seidler
2007,Jamie Foxx,Peter Berg,Matthew Michael Carnahan
2007,Khalid Abdalla,Marc Forster,David Benioff
2000,Tim Meadows,Reginald Hudlin,Tim Meadows
2006,Keanu Reeves,Alejandro Agresti,David Auburn
1988,Pat Hingle,Don Bluth,Stu Krieger
2010,Noah Ringer,M. Night Shyamalan,M. Night Shyamalan
2001,Robert Redford,Rod Lurie,David Scarpa
1987,John Lone,Bernardo Bertolucci,Mark Peploe
2009,Garret Dillahunt,Dennis Iliadis,Adam Alleca
2006,James McAvoy,Kevin Macdonald,Peter Morgan
2007,Colin Firth,Doug Lefler,Jez Butterworth
1992,Daniel Day-Lewis,Michael Mann,James Fenimore Cooper
2003,Tom Cruise,Edward Zwick,John Logan
1988,Willem Dafoe,Martin Scorsese,Nikos Kazantzakis
2015,Vin Diesel,Breck Eisner,Cory Goodman
1992,Jeff Fahey,Brett Leonard,Stephen King
2015,Olivia Wilde,David Gelb,Luke Dawson
2003,Sean Connery,Stephen Norrington,Alan Moore
2000,Will Smith,Robert Redford,Steven Pressfield
2014,Kellan Lutz,Renny Harlin,Sean Hood
2016,Alexander Skarsgård,David Yates,Adam Cozad
2005,Antonio Banderas,Martin Campbell,Roberto Orci
2014,Chris Pratt,Phil Lord,Phil Lord
2004,Bill Murray,Wes Anderson,Wes Anderson
2003,Kevin Spacey,Alan Parker,Charles Randolph
1999,Terence Stamp,Steven Soderbergh,Lem Dobbs
2011,Matthew McConaughey,Brad Furman,John Romano
1994,Matthew Broderick,Roger Allers,Irene Mecchi
2000,Jonathan Lipnicki,Uli Edel,Angela Sommer-Bodenburg
2006,Ulrich Mühe,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck
1987,Timothy Dalton,John Glen,Richard Maibaum
2013,Johnny Depp,Gore Verbinski,Justin Haythe
